url,domain,url_len,count_dot,count_hyphen,has_at,has_ip,domain_len,tld_len,count_digits,https,num_subdirs,forms_count,password_field,external_resources,domain_age_days,dns_ttl,registrar_len,contains_login_words,label
https://www.sub64.ssl328.cn/p137/p714?q=2514,sub64.ssl328.cn,44,3,0,0,0,15,2,15,1,2,0,1,1,854,2201,6,0,1
https://www.sub43.update609.jp/p802?q=9430,sub43.update609.jp,42,3,0,0,0,18,2,12,1,1,0,1,1,2585,1752,4,0,1
https://www.sub81.account806.uk/p29/p648/p871/p342,sub81.account806.uk,50,3,0,0,0,19,2,16,1,4,0,0,2,3621,4248,12,1,0
https://www.sub99.facebook417.in/p633/p613?q=2174,sub99.facebook417.in,49,3,0,0,0,20,2,15,1,2,1,0,2,1102,4199,12,0,1
https://www.services975.fr/p13?q=1512,services975.fr,37,2,0,0,0,14,2,9,1,1,0,0,3,1019,3178,12,0,0
https://www.ebay930.au/p65/p57/p120,ebay930.au,35,2,0,0,0,10,2,10,1,3,0,1,3,386,3865,13,0,1
https://www.sub87.apple140.ru/p148/p774/p208,sub87.apple140.ru,44,3,0,0,0,17,2,14,1,3,0,0,3,2181,4465,8,0,0
https://www.apple939.de/p642/p196/p701/p901?q=9443,apple939.de,50,2,0,0,0,11,2,19,1,4,0,0,3,1634,3432,4,0,1
https://www.sub22.edu180.in/p24/p768/p499/p271,sub22.edu180.in,46,3,0,0,0,15,2,16,1,4,0,0,3,1715,3371,13,0,0
https://www.sub36.paypal868.ca/p31/p34,sub36.paypal868.ca,38,3,0,0,0,18,2,9,1,2,0,0,3,1336,4801,15,1,0
https://www.sub48.ssl334.net/p675/p47/p38/p26,sub48.ssl334.net,45,3,0,0,0,16,3,14,1,4,0,0,3,149,3461,4,0,1
https://www.sub40.login581.co/p992/p934/p876,sub40.login581.co,44,3,0,0,0,17,2,14,1,3,0,1,3,1400,2421,7,1,1
https://www.sub64.microsoft480.co/p189/p901/p764/p828,sub64.microsoft480.co,53,3,0,0,0,21,2,17,1,4,0,0,4,483,5270,10,0,0
https://www.sub81.ebay841.net/p828/p217/p370?q=4828,sub81.ebay841.net,51,3,0,0,0,17,3,18,1,3,1,0,3,1156,5598,14,0,1
http://www.sub49.site83914.de/p437/p656,sub49.site83914.de,39,3,0,0,0,18,2,13,0,2,0,0,4,1142,2964,4,0,0
https://www.sub80.amazon922.us/p874/p142/p821/p69?q=6162,sub80.amazon922.us,56,3,0,0,0,18,2,20,1,4,0,0,1,579,3813,11,0,1
http://www.ebay750.net,ebay750.net,22,2,0,0,0,11,3,3,0,0,0,0,2,1942,4649,7,0,0
https://www.india712.in/p280,india712.in,28,2,0,0,0,11,2,6,1,1,1,0,3,1617,3079,15,0,0
https://www.sub75.ssl692.us,sub75.ssl692.us,27,3,0,0,0,15,2,5,1,0,0,0,1,2027,3031,11,0,0
http://www.india463.in/p578/p219,india463.in,32,2,0,0,0,11,2,9,0,2,0,1,3,1681,2021,4,0,0
https://www.update686.de/p579/p578/p366/p99?q=3215,update686.de,50,2,0,0,0,12,2,18,1,4,0,0,2,347,3829,8,0,1
https://www.sub46.login236.in/p43/p477/p525/p637?q=7391,sub46.login236.in,55,3,0,0,0,17,2,20,1,4,1,0,1,1068,2489,8,1,1
https://www.site574560.fr/p229/p920,site574560.fr,35,2,0,0,0,13,2,12,1,2,0,0,4,868,1333,7,0,0
https://www.sub92.india934.org/p825?q=8238,sub92.india934.org,42,3,0,0,0,18,3,12,1,1,0,0,3,1393,2246,15,0,1
https://www.pay130.de/p622?q=116,pay130.de,32,2,0,0,0,9,2,9,1,1,0,1,2,186,2618,14,1,1
https://www.sub95.facebook82.io/p653/p590/p545/p408?q=4920,sub95.facebook82.io,58,3,0,0,0,19,2,20,1,4,0,0,4,102,5640,8,0,1
https://www.sub19.apple87.com/p185?q=5722,sub19.apple87.com,41,3,0,0,0,17,3,11,1,1,0,0,2,1470,4400,13,0,0
http://www.sub21.shop907.in/p838?q=9958,sub21.shop907.in,39,3,0,0,0,16,2,12,0,1,0,0,3,193,3267,10,0,0
http://www.paypal56.za/p979/p990/p274/p650,paypal56.za,42,2,0,0,0,11,2,14,0,4,1,0,2,1857,3954,13,1,0
https://www.sub66.secure322.io/p484,sub66.secure322.io,35,3,0,0,0,18,2,8,1,1,0,0,3,1673,4728,9,1,1
https://www.google213.uk/p322?q=4491,google213.uk,36,2,0,0,0,12,2,10,1,1,0,0,2,1167,2418,12,0,0
https://www.sub35.pay536.de/p422/p245/p961?q=616,sub35.pay536.de,48,3,0,0,0,15,2,17,1,3,1,0,1,565,2654,4,1,0
https://www.sub64.ssl195.es/p172/p43/p153/p306,sub64.ssl195.es,46,3,0,0,0,15,2,16,1,4,0,0,2,933,5267,13,0,0
