url,domain,url_len,count_dot,count_hyphen,has_at,has_ip,domain_len,tld_len,count_digits,https,num_subdirs,forms_count,password_field,external_resources,domain_age_days,dns_ttl,registrar_len,contains_login_words,label
https://www.sub1.account405.au?q=7817,sub1.account405.au,37,3,0,0,0,18,2,8,1,0,0,0,3,1623,3251,14,1,0
https://www.sub6.shop883.uk/p268/p848/p100,sub6.shop883.uk,42,3,0,0,0,15,2,13,1,3,1,0,3,937,3876,3,0,1
https://www.shop451.de/p261/p884/p604?q=8740,shop451.de,44,2,0,0,0,10,2,16,1,3,0,0,4,683,3384,9,0,1
https://www.amazon743.us/p635/p751/p901?q=9518,amazon743.us,46,2,0,0,0,12,2,16,1,3,1,0,2,759,2185,4,0,1
https://www.sub14.facebook675.org/p539/p899/p353/p192?q=4619,sub14.facebook675.org,60,3,0,0,0,21,3,21,1,4,0,1,1,1140,2739,14,0,1
https://www.ebay873.net/p390/p978/p325/p642,ebay873.net,43,2,0,0,0,11,3,15,1,4,0,1,3,501,3350,4,0,1
https://www.sub2.ebay380.br?q=8698,sub2.ebay380.br,34,3,0,0,0,15,2,8,1,0,0,0,3,1319,4860,7,0,0
http://www.sub59.secure17.org,sub59.secure17.org,29,3,0,0,0,18,3,4,0,0,0,0,4,858,2642,9,1,1
https://www.sub71.shop164.fr/p574/p437,sub71.shop164.fr,38,3,0,0,0,16,2,11,1,2,0,0,1,1400,2349,13,0,0
http://www.sub81.microsoft473.net/p188/p385/p802/p897,sub81.microsoft473.net,53,3,0,0,0,22,3,17,0,4,0,0,2,2521,3893,11,0,0
https://www.ebay560.br,ebay560.br,22,2,0,0,0,10,2,3,1,0,0,1,1,1240,3542,4,0,1
https://www.sub20.login239.org/p26/p372/p38?q=7444,sub20.login239.org,50,3,0,0,0,18,3,16,1,3,0,0,2,534,5038,13,1,1
https://www.bank122.cn/p242/p499,bank122.cn,32,2,0,0,0,10,2,9,1,2,0,0,2,915,3055,9,0,1
https://www.sub98.secure547.cn/p730/p261,sub98.secure547.cn,40,3,0,0,0,18,2,11,1,2,0,0,1,530,1639,6,1,0
https://www.pay174.co/p574/p849/p224,pay174.co,36,2,0,0,0,9,2,12,1,3,0,0,4,1228,2581,14,1,1
https://www.sub24.update871.au/p311?q=6571,sub24.update871.au,42,3,0,0,0,18,2,12,1,1,0,0,5,196,4900,9,0,0
http://www.sub23.microsoft437.co?q=8676,sub23.microsoft437.co,39,3,0,0,0,21,2,9,0,0,0,0,2,123,212,6,0,1
https://www.sub75.apple228.fr/p969/p153/p936/p588,sub75.apple228.fr,49,3,0,0,0,17,2,17,1,4,0,0,0,2386,6277,14,0,0
https://www.sub2.bank689.jp/p424,sub2.bank689.jp,32,3,0,0,0,15,2,7,1,1,0,0,4,1810,1710,4,0,0
https://www.sub70.secure484.za/p375?q=9660,sub70.secure484.za,42,3,0,0,0,18,2,12,1,1,1,0,4,819,3837,11,1,1
https://www.sub24.update80.ru/p474/p475,sub24.update80.ru,39,3,0,0,0,17,2,10,1,2,0,0,3,2024,3282,4,0,1
http://www.sub21.bank676.com/p925/p276/p323/p896?q=1000,sub21.bank676.com,55,3,0,0,0,17,3,21,0,4,0,1,3,1066,3456,14,0,1
https://www.sub40.account626.us/p216/p423/p506/p535?q=235,sub40.account626.us,57,3,0,0,0,19,2,20,1,4,0,0,2,561,4146,10,1,1
https://www.google790.net/p463/p521/p663/p520?q=3572,google790.net,52,2,0,0,0,13,3,19,1,4,2,0,2,369,2553,3,0,1
http://www.login606.cn?q=8409,login606.cn,29,2,0,0,0,11,2,7,0,0,1,0,3,1951,4014,12,1,1
https://www.apple603.de/p882/p728,apple603.de,33,2,0,0,0,11,2,9,1,2,0,0,3,1933,5545,6,0,0
https://www.account857.io/p457/p540/p330,account857.io,40,2,0,0,0,13,2,12,1,3,1,0,5,1900,3891,3,1,0
https://www.secure632.ru/p419/p446/p139?q=5061,secure632.ru,46,2,0,0,0,12,2,16,1,3,0,0,3,976,4863,7,1,0
https://www.sub20.ssl400.ru,sub20.ssl400.ru,27,3,0,0,0,15,2,5,1,0,0,0,4,407,606,13,0,1
https://www.sub44.ssl753.uk/p804/p749/p704,sub44.ssl753.uk,42,3,0,0,0,15,2,14,1,3,1,0,1,1751,3132,11,0,1
https://www.sub98.secure986.uk/p953,sub98.secure986.uk,35,3,0,0,0,18,2,8,1,1,0,0,1,1069,2390,6,1,1
