url,url_len,count_dot,count_hyphen,has_at,has_ip,domain_len,tld_len,count_digits,https,num_subdirs,forms_count,password_field,external_resources,label,is_tamilnadu
https://www.tn115.com/path?q=25,31,2,0,0,0,13,3,5,1,3,1,0,2,1,1
https://www.chennai282.com/path?q=250,37,2,0,0,0,18,3,6,1,3,0,0,2,1,1
https://www.tn719.com/path?q=558,32,2,0,0,0,13,3,6,1,3,1,0,4,0,1
https://www.madurai45.com/path?q=747,36,2,0,0,0,17,3,5,1,3,0,0,4,0,1
https://www.chennai72.com/path?q=46,35,2,0,0,0,17,3,4,1,3,0,0,3,0,1
https://www.tn234.com/path?q=791,32,2,0,0,0,13,3,6,1,3,0,0,3,1,1
https://www.tn855.com/path?q=373,32,2,0,0,0,13,3,6,1,3,1,0,3,0,1
https://www.chennai960.com/path?q=699,37,2,0,0,0,18,3,6,1,3,0,0,2,0,1
https://www.tn74.com/path?q=623,31,2,0,0,0,12,3,5,1,3,0,0,3,1,1
https://www.tn176.com/path?q=546,32,2,0,0,0,13,3,6,1,3,0,0,3,0,1
https://www.chennai251.com/path?q=167,37,2,0,0,0,18,3,6,1,3,0,0,3,1,1
https://www.tn705.com/path?q=570,32,2,0,0,0,13,3,6,1,3,0,0,4,0,1
https://www.madurai795.com/path?q=57,36,2,0,0,0,18,3,5,1,3,0,0,2,0,1
https://www.madurai324.com/path?q=410,37,2,0,0,0,18,3,6,1,3,0,0,3,1,1
https://www.tn470.com/path?q=146,32,2,0,0,0,13,3,6,1,3,0,0,3,0,1
https://www.chennai575.com/path?q=551,37,2,0,0,0,18,3,6,1,3,1,0,4,1,1
https://www.madurai657.com/path?q=348,37,2,0,0,0,18,3,6,1,3,0,0,1,0,1
https://www.chennai897.com/path?q=736,37,2,0,0,0,18,3,6,1,3,1,0,2,1,1
https://www.madurai183.com/path?q=519,37,2,0,0,0,18,3,6,1,3,0,0,3,0,1
https://www.madurai945.com/path?q=543,37,2,0,0,0,18,3,6,1,3,1,0,2,1,1
https://www.madurai315.com/path?q=245,37,2,0,0,0,18,3,6,1,3,0,0,3,0,1
https://www.madurai129.com/path?q=131,37,2,0,0,0,18,3,6,1,3,1,0,3,1,1
https://www.tn487.com/path?q=969,32,2,0,0,0,13,3,6,1,3,1,0,3,0,1
https://www.chennai206.com/path?q=730,37,2,0,0,0,18,3,6,1,3,0,0,3,0,1
https://www.tn383.com/path?q=448,32,2,0,0,0,13,3,6,1,3,0,0,3,0,1
https://www.chennai647.com/path?q=60,36,2,0,0,0,18,3,5,1,3,1,0,2,1,1
https://www.chennai958.com/path?q=903,37,2,0,0,0,18,3,6,1,3,0,0,3,1,1
https://www.madurai417.com/path?q=194,37,2,0,0,0,18,3,6,1,3,0,0,2,1,1
https://www.chennai56.com/path?q=689,36,2,0,0,0,17,3,5,1,3,0,0,0,1,1
https://www.tn662.com/path?q=100,32,2,0,0,0,13,3,6,1,3,0,0,6,1,1
https://www.tn554.com/path?q=856,32,2,0,0,0,13,3,6,1,3,0,0,2,0,1
https://www.madurai870.com/path?q=242,37,2,0,0,0,18,3,6,1,3,0,0,3,1,1
https://www.madurai804.com/path?q=465,37,2,0,0,0,18,3,6,1,3,0,0,2,1,1
https://www.chennai803.com/path?q=569,37,2,0,0,0,18,3,6,1,3,0,0,5,1,1
https://www.tn736.com/path?q=498,32,2,0,0,0,13,3,6,1,3,0,0,3,1,1
https://www.tn308.com/path?q=468,32,2,0,0,0,13,3,6,1,3,0,1,2,0,1
https://www.tn107.com/path?q=961,32,2,0,0,0,13,3,6,1,3,0,0,2,0,1
https://www.tn874.com/path?q=270,32,2,0,0,0,13,3,6,1,3,0,0,2,1,1
https://www.madurai134.com/path?q=652,37,2,0,0,0,18,3,6,1,3,0,0,3,0,1
https://www.chennai926.com/path?q=152,37,2,0,0,0,18,3,6,1,3,1,0,3,1,1
https://www.madurai996.com/path?q=881,37,2,0,0,0,18,3,6,1,3,0,1,3,0,1
https://www.tn106.com/path?q=362,32,2,0,0,0,13,3,6,1,3,0,0,1,1,1
https://www.madurai574.com/path?q=905,37,2,0,0,0,18,3,6,1,3,0,1,1,0,1
https://www.chennai159.com/path?q=947,37,2,0,0,0,18,3,6,1,3,0,0,4,0,1
https://www.madurai831.com/path?q=181,37,2,0,0,0,18,3,6,1,3,0,1,2,0,1
https://www.chennai947.com/path?q=340,37,2,0,0,0,18,3,6,1,3,0,0,2,0,1
https://www.madurai954.com/path?q=421,37,2,0,0,0,18,3,6,1,3,0,0,3,0,1
https://www.madurai686.com/path?q=884,37,2,0,0,0,18,3,6,1,3,1,0,2,1,1
https://www.chennai831.com/path?q=254,37,2,0,0,0,18,3,6,1,3,0,0,2,1,1
https://www.chennai111.com/path?q=391,37,2,0,0,0,18,3,6,1,3,1,0,4,0,1
https://www.madurai893.com/path?q=233,37,2,0,0,0,18,3,6,1,3,1,0,2,1,1
https://www.madurai286.com/path?q=359,37,2,0,0,0,18,3,6,1,3,0,1,3,0,1
https://www.tn522.com/path?q=409,32,2,0,0,0,13,3,6,1,3,0,1,3,1,1
https://www.tn864.com/path?q=549,32,2,0,0,0,13,3,6,1,3,0,0,2,0,1
https://www.chennai806.com/path?q=321,37,2,0,0,0,18,3,6,1,3,0,0,2,1,1
https://www.madurai552.com/path?q=703,37,2,0,0,1,18,3,6,1,3,0,0,3,1,1
https://www.chennai963.com/path?q=759,37,2,0,0,0,18,3,6,1,3,0,0,3,1,1
https://www.chennai687.com/path?q=201,37,2,0,0,0,18,3,6,1,3,0,0,3,0,1
https://www.tn943.com/path?q=338,32,2,0,0,0,13,3,6,1,3,0,0,4,1,1
https://www.tn419.com/path?q=334,32,2,0,0,0,13,3,6,1,3,1,0,3,1,1
https://www.madurai754.com/path?q=173,37,2,0,0,0,18,3,6,1,3,0,0,4,1,1
https://www.tn87.com/path?q=290,31,2,0,0,0,12,3,5,1,3,0,0,2,1,1
https://www.madurai241.com/path?q=688,37,2,0,0,0,18,3,6,1,3,0,0,4,0,1
https://www.tn590.com/path?q=199,32,2,0,0,0,13,3,6,1,3,0,0,3,0,1
https://www.chennai714.com/path?q=393,37,2,0,0,0,18,3,6,1,3,0,0,1,0,1
https://www.madurai907.com/path?q=109,37,2,0,0,0,18,3,6,1,3,0,0,4,1,1
https://www.madurai436.com/path?q=224,37,2,0,0,0,18,3,6,1,3,0,0,3,0,1
https://www.chennai531.com/path?q=475,37,2,0,0,0,18,3,6,1,3,1,0,2,0,1
https://www.madurai476.com/path?q=683,37,2,0,0,0,18,3,6,1,3,0,0,1,0,1
https://www.chennai914.com/path?q=516,37,2,0,0,1,18,3,6,1,3,0,1,3,0,1
https://www.madurai254.com/path?q=860,37,2,0,0,0,18,3,6,1,3,0,0,1,0,1
https://www.tn284.com/path?q=784,32,2,0,0,0,13,3,6,1,3,1,1,3,0,1
https://www.madurai534.com/path?q=496,37,2,0,0,0,18,3,6,1,3,0,0,2,1,1
https://www.tn245.com/path?q=281,32,2,0,0,0,13,3,6,1,3,0,0,3,0,1
https://www.chennai157.com/path?q=723,37,2,0,0,0,18,3,6,1,3,0,0,2,0,1
https://www.madurai590.com/path?q=389,37,2,0,0,0,18,3,6,1,3,0,0,2,0,1
https://www.chennai560.com/path?q=819,37,2,0,0,0,18,3,6,1,3,0,0,1,1,1
https://www.tn818.com/path?q=414,32,2,0,0,0,13,3,6,1,3,1,0,4,0,1
https://www.chennai170.com/path?q=860,37,2,0,0,0,18,3,6,1,3,0,0,3,1,1
https://www.tn28.com/path?q=85,30,2,0,0,0,12,3,4,1,3,0,0,2,0,1
https://www.tn439.com/path?q=138,32,2,0,0,0,13,3,6,1,3,0,0,2,1,1
https://www.chennai553.com/path?q=53,36,2,0,0,0,18,3,5,1,3,1,0,2,1,1
https://www.tn42.com/path?q=772,31,2,0,0,0,12,3,5,1,3,0,0,5,0,1
https://www.chennai736.com/path?q=117,37,2,0,0,0,18,3,6,1,3,0,0,3,0,1
https://www.madurai839.com/path?q=167,37,2,0,0,0,18,3,6,1,3,0,0,1,1,1
https://www.chennai204.com/path?q=77,36,2,0,0,0,18,3,5,1,3,1,0,3,1,1
https://www.tn249.com/path?q=104,32,2,0,0,0,13,3,6,1,3,0,0,3,0,1
https://www.chennai792.com/path?q=308,37,2,0,0,0,18,3,6,1,3,1,0,2,1,1
https://www.tn615.com/path?q=824,32,2,0,0,0,13,3,6,1,3,0,0,1,1,1
https://www.madurai43.com/path?q=355,36,2,0,0,0,17,3,5,1,3,1,1,4,0,1
https://www.tn350.com/path?q=12,31,2,0,0,0,13,3,5,1,3,0,0,4,1,1
https://www.chennai607.com/path?q=274,37,2,0,0,0,18,3,6,1,3,0,0,3,1,1
https://www.tn389.com/path?q=344,32,2,0,0,0,13,3,6,1,3,0,1,2,1,1
https://www.madurai247.com/path?q=707,37,2,0,0,0,18,3,6,1,3,0,0,3,0,1
